Borough,Status,Local authority,Political control,Headquarters,Area (sq mi),Population (2013 est)[1],Co-ordinates,Nr. in map
Barking and Dagenham [note 1],,Barking and Dagenham London Borough Council,Labour,"Town Hall, 1 Town Square",13.93,"194,352",51.5607°N 0.1557°E,25
Barnet,,Barnet London Borough Council,Conservative,"North London Business Park, Oakleigh Road South",33.49,"369,088",51.6252°N 0.1517°W,31
Bexley,,Bexley London Borough Council,Conservative,"Civic Offices, 2 Watling Street",23.38,"236,687",51.4549°N 0.1505°E,23
Brent,,Brent London Borough Council,Labour,"Brent Civic Centre, Engineers Way",16.7,"317,264",51.5588°N 0.2817°W,12
Bromley,,Bromley London Borough Council,Conservative,"Civic Centre, Stockwell Close",57.97,"317,899",51.4039°N 0.0198°E,20
Camden,,Camden London Borough Council,Labour,"Camden Town Hall, Judd Street",8.4,"229,719",51.5290°N 0.1255°W,11
Croydon,,Croydon London Borough Council,Labour,"Bernard Weatherill House, Mint Walk",33.41,"372,752",51.3714°N 0.0977°W,19
Ealing,,Ealing London Borough Council,Labour,"Perceval House, 14-16 Uxbridge Road",21.44,"342,494",51.5130°N 0.3089°W,13
Enfield,,Enfield London Borough Council,Labour,"Civic Centre, Silver Street",31.74,"320,524",51.6538°N 0.0799°W,30
Greenwich [note 2],Royal,Greenwich London Borough Council,Labour,"Woolwich Town Hall, Wellington Street",18.28,"264,008",51.4892°N 0.0648°E,22
Hackney,,Hackney London Borough Council,Labour,"Hackney Town Hall, Mare Street",7.36,"257,379",51.5450°N 0.0553°W,9
Hammersmith and Fulham [note 4],,Hammersmith and Fulham London Borough Council,Labour,"Town Hall, King Street",6.33,"178,685",51.4927°N 0.2339°W,4
Haringey,,Haringey London Borough Council,Labour,"Civic Centre, High Road",11.42,"263,386",51.6000°N 0.1119°W,29
Harrow,,Harrow London Borough Council,Labour,"Civic Centre, Station Road",19.49,"243,372",51.5898°N 0.3346°W,32
Havering,,Havering London Borough Council,Conservative (council NOC),"Town Hall, Main Road",43.35,"242,080",51.5812°N 0.1837°E,24
Hillingdon,,Hillingdon London Borough Council,Conservative,"Civic Centre, High Street",44.67,"286,806",51.5441°N 0.4760°W,33
Hounslow,,Hounslow London Borough Council,Labour,"Hounslow House, 7 Bath Road",21.61,"262,407",51.4746°N 0.3680°W,14
Islington,,Islington London Borough Council,Labour,"Municipal Offices, 222 Upper Street",5.74,"215,667",51.5416°N 0.1022°W,10
Kensington and Chelsea,Royal,Kensington and Chelsea London Borough Council,Conservative,"The Town Hall, Hornton Street",4.68,"155,594",51.5020°N 0.1947°W,3
Kingston upon Thames,Royal,Kingston upon Thames London Borough Council,Liberal Democrat,"Guildhall, High Street",14.38,"166,793",51.4085°N 0.3064°W,16
Lambeth,,Lambeth London Borough Council,Labour,"Lambeth Town Hall, Brixton Hill",10.36,"314,242",51.4607°N 0.1163°W,6
Lewisham,,Lewisham London Borough Council,Labour,"Town Hall, 1 Catford Road",13.57,"286,180",51.4452°N 0.0209°W,21
Merton,,Merton London Borough Council,Labour,"Civic Centre, London Road",14.52,"203,223",51.4014°N 0.1958°W,17
Newham,,Newham London Borough Council,Labour,"Newham Dockside, 1000 Dockside Road",13.98,"318,227",51.5077°N 0.0469°E,27
Redbridge,,Redbridge London Borough Council,Labour,"Town Hall, 128-142 High Road",21.78,"288,272",51.5590°N 0.0741°E,26
Richmond upon Thames,,Richmond upon Thames London Borough Council,Liberal Democrat,"Civic Centre, 44 York Street",22.17,"191,365",51.4479°N 0.3260°W,15
Southwark,,Southwark London Borough Council,Labour,160 Tooley Street,11.14,"298,464",51.5035°N 0.0804°W,7
Sutton,,Sutton London Borough Council,Liberal Democrat,"Civic Offices, St Nicholas Way",16.93,"195,914",51.3618°N 0.1945°W,18
Tower Hamlets,,Tower Hamlets London Borough Council,Labour,"Town Hall, Mulberry Place, 5 Clove Crescent",7.63,"272,890",51.5099°N 0.0059°W,8
Waltham Forest,,Waltham Forest London Borough Council,Labour,"Waltham Forest Town Hall, Forest Road",14.99,"265,797",51.5908°N 0.0134°W,28
Wandsworth,,Wandsworth London Borough Council,Conservative,"The Town Hall, Wandsworth High Street",13.23,"310,516",51.4567°N 0.1910°W,5
Westminster,City,Westminster City Council,Conservative,"Westminster City Hall, 64 Victoria Street",8.29,"226,841",51.4973°N 0.1372°W,2
ity of London,,,? ,Guildhall,1.12,"7,000",51.5155°N 0.0922°W,1
